,Score,Location,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
0,1-1,Home,7,6,17,4,9,8,13,12,,65%,0.0,0.0,1,547,453,83%
1,0-1,Away,9,8,18,1,10,8,9,7,2.0,73%,1.0,0.0,1,666,591,89%
2,5-0,Home,10,8,21,3,14,7,10,11,1.0,62%,0.0,0.0,2,636,545,86%
3,0-4,Away,8,6,16,2,6,10,15,5,2.0,56%,0.0,0.0,7,463,379,82%
4,3-0,Home,6,8,18,4,12,6,6,4,1.0,71%,2.0,0.0,2,698,616,88%
5,3-0,Away,4,4,15,7,10,5,12,6,1.0,66%,2.0,0.0,5,548,459,84%
6,0-2,Away,4,8,17,5,13,4,12,8,4.0,57%,2.0,0.0,5,530,432,82%
7,5-0,Home,11,8,23,4,15,8,11,6,2.0,57%,2.0,0.0,3,514,441,86%
8,0-4,Away,10,6,17,1,9,8,13,10,0.0,66%,1.0,0.0,4,598,505,84%
9,3-0,Home,10,9,28,9,16,12,8,13,2.0,69%,1.0,0.0,2,670,598,89%
10,2-0,Home,10,7,21,4,7,14,8,5,5.0,61%,0.0,0.0,0,618,528,85%
11,1-7,Away,12,8,29,9,22,7,4,15,2.0,63%,0.0,0.0,2,561,482,86%
12,0-3,Away,5,8,16,3,12,4,6,7,4.0,74%,1.0,0.0,3,763,676,89%
13,5-1,Home,12,11,32,9,19,13,11,19,0.0,72%,,0.0,2,609,533,88%
14,1-4,Away,6,7,14,1,9,5,7,7,3.0,67%,3.0,0.0,7,530,468,88%
15,8-0,Home,17,13,35,5,21,14,3,14,,73%,0.0,0.0,2,767,681,89%
16,1-3,Away,7,4,17,6,11,6,8,9,2.0,64%,2.0,0.0,1,502,396,79%
17,4-4,Home,9,12,27,6,21,6,7,11,2.0,67%,0.0,0.0,5,522,440,84%
18,6-2,Away,7,4,16,5,10,6,14,5,0.0,51%,,0.0,3,411,334,81%
19,6-0,Home,11,5,23,7,13,10,7,4,1.0,68%,0.0,0.0,1,651,580,89%
20,1-0,Away,7,11,22,4,14,8,12,10,1.0,64%,1.0,0.0,2,527,425,81%
21,5-0,Home,10,11,33,12,23,10,9,13,1.0,72%,1.0,0.0,2,661,587,89%
22,1-5,Away,11,3,17,3,9,8,14,8,1.0,63%,1.0,0.0,0,501,412,82%
23,4-0,Home,8,11,21,2,11,10,15,7,1.0,67%,,,2,762,681,89%
24,2-1,Home,7,9,17,1,10,7,9,7,,59%,2.0,,2,540,465,86%
25,1-0,Away,6,5,15,4,7,8,13,7,3.0,65%,1.0,,5,546,436,80%
26,3-1,Home,7,3,16,6,8,8,9,4,0.0,49%,3.0,1.0,2,420,304,72%
27,2-5,Away,10,5,17,2,13,4,9,4,,62%,1.0,,3,605,509,84%
28,1-4,Away,5,4,13,4,7,6,15,1,1.0,55%,0.0,,3,527,415,79%
29,6-2,Home,13,5,22,4,19,3,9,7,3.0,60%,2.0,,2,609,500,82%
30,0-1,Away,5,5,16,6,11,5,7,6,3.0,61%,3.0,1.0,2,472,349,74%
31,4-2,Home,9,5,20,6,15,5,15,5,3.0,56%,2.0,,2,526,450,86%
32,4-1,Home,12,9,25,4,17,8,8,5,,64%,1.0,,2,609,534,88%
33,1-4,Away,9,2,16,5,10,6,6,6,3.0,63%,0.0,,2,558,478,86%
