timestamp,likes,retweets,replies
2019-09-10 06:16:34,2245,137,19
2019-09-10 12:34:49,379,19,3
2019-09-10 13:11:38,142,15,0
2019-09-10 13:13:27,0,0,0
2019-09-10 14:48:07,22,3,1
2019-09-10 16:24:15,174,13,21
2019-09-11 08:47:28,319,15,4
2019-09-11 15:09:31,189,25,51
2019-09-11 18:23:40,122,11,16
2019-09-12 06:47:00,279,15,22
2019-09-12 12:19:07,375,25,1
2019-09-12 13:22:37,208,16,2
2019-09-13 08:05:49,163,15,3
2019-09-13 10:34:13,90,11,2
2019-09-13 11:51:20,2035,169,36
2019-09-13 11:56:55,815,78,10
2019-09-13 13:31:06,110,14,6
2019-09-13 14:36:56,216,25,4
2019-09-13 15:15:20,298,30,7
2019-09-13 16:45:10,161,18,6
2019-09-13 17:31:07,98,7,1
2019-09-13 18:00:27,74,5,0
2019-09-13 18:10:13,84,9,2
2019-09-13 18:23:45,101,14,1
2019-09-13 18:47:52,73,7,0
2019-09-13 19:04:04,95,11,1
2019-09-13 19:05:24,41,8,0
2019-09-13 19:06:36,43,7,0
2019-09-13 19:22:43,53,5,2
2019-09-13 19:40:04,49,5,5
2019-09-13 19:53:49,123,13,10
2019-09-13 20:00:37,657,69,2
2019-09-13 20:48:19,127,7,2
2019-09-14 05:34:00,546,62,4
2019-09-14 10:19:33,150,14,36
2019-09-14 11:30:46,130,9,2
2019-09-14 13:07:06,142,7,2
2019-09-14 13:15:06,40,4,0
2019-09-14 13:21:45,37,2,0
2019-09-14 13:53:40,70,10,0
2019-09-14 14:02:55,56,6,1
2019-09-14 14:25:04,92,6,0
2019-09-14 14:39:47,520,49,9
2019-09-14 15:25:19,359,23,4
2019-09-14 15:43:50,39,7,1
2019-09-14 16:08:16,135,10,1
2019-09-14 16:27:57,56,8,0
2019-09-14 16:29:34,160,13,1
2019-09-14 16:32:06,75,15,2
2019-09-14 16:36:46,45,3,1
2019-09-14 16:39:43,52,3,4
2019-09-14 16:44:22,37,1,1
2019-09-14 16:51:33,186,20,3
2019-09-14 16:53:14,79,14,16
2019-09-14 17:02:25,47,5,2
2019-09-14 17:03:04,82,8,10
2019-09-14 17:09:29,44,2,2
2019-09-14 17:21:41,205,37,7
2019-09-14 17:27:42,1282,106,13
2019-09-14 17:35:06,168,14,2
2019-09-14 17:46:09,240,16,2
2019-09-14 17:53:01,158,19,2
2019-09-14 18:00:56,67,2,0
2019-09-14 18:04:21,142,12,4
2019-09-14 18:09:00,61,5,1
2019-09-14 18:09:58,165,22,7
2019-09-14 18:13:25,340,34,8
2019-09-14 18:22:12,506,125,6
2019-09-14 19:02:07,840,77,6
2019-09-14 19:16:10,236,28,1
2019-09-15 05:34:03,1949,120,10
2019-09-15 15:01:22,104,9,2
2019-09-15 17:04:10,245,39,5
2019-09-16 08:30:47,102,9,2
2019-09-16 11:34:42,113,10,8
2019-09-16 13:12:08,86,6,0
2019-09-16 14:33:13,378,35,2
2019-09-16 14:49:33,117,8,0
2019-09-16 14:57:24,133,8,11
2019-09-16 16:45:16,224,20,13
2019-09-16 17:30:42,365,21,16
2019-09-16 18:01:28,65,6,0
2019-09-16 18:02:22,232,15,0
2019-09-16 18:06:32,154,12,5
2019-09-16 18:48:25,106,8,2
2019-09-16 18:50:07,205,12,31
2019-09-16 19:05:52,82,7,3
2019-09-16 19:53:35,143,10,2
2019-09-16 19:55:02,262,28,5
2019-09-16 20:22:08,255,18,0
2019-09-17 05:34:00,1336,142,18
2019-09-17 08:58:09,159,14,4
2019-09-17 10:00:14,59,8,1
2019-09-17 10:04:35,460,36,9
2019-09-17 10:29:40,170,9,3
2019-09-17 10:59:01,449,39,4
2019-09-17 11:12:07,151,25,10
2019-09-17 11:50:29,96,7,1
2019-09-17 11:54:00,449,34,4
2019-09-17 12:05:32,36,5,0
2019-09-17 12:09:05,82,8,3
2019-09-17 12:24:09,113,9,2
2019-09-17 12:41:00,72,8,2
2019-09-17 12:52:36,64,5,0
2019-09-17 13:00:21,175,12,5
2019-09-17 13:06:13,33,5,1
2019-09-17 13:53:45,85,11,1
2019-09-17 13:55:32,192,26,2
2019-09-17 14:31:22,453,44,3
2019-09-17 15:28:11,199,19,29
2019-09-17 17:17:57,348,30,2
2019-09-17 17:59:18,477,38,5
2019-09-17 18:17:56,85,9,1
2019-09-17 18:24:54,227,21,106
2019-09-17 18:55:05,119,12,17
2019-09-17 19:00:15,223,26,3
2019-09-17 19:00:48,313,53,7
2019-09-17 19:06:25,66,8,2
2019-09-17 19:14:57,145,13,5
2019-09-17 19:17:17,58,5,1
2019-09-17 19:32:42,342,43,2
2019-09-17 19:39:59,53,6,7
2019-09-17 19:42:58,131,14,2
2019-09-17 19:45:56,125,14,3
2019-09-17 19:46:55,493,64,47
2019-09-17 20:01:50,156,28,3
2019-09-17 20:05:36,148,17,5
2019-09-17 20:11:39,325,17,9
2019-09-17 20:15:24,131,8,2
2019-09-17 20:18:36,13071,1472,92
2019-09-17 20:26:45,1250,114,14
2019-09-17 20:33:14,239,18,5
2019-09-17 20:39:32,208,16,2
2019-09-17 20:43:10,128,13,1
2019-09-17 20:46:30,69,8,0
2019-09-17 20:46:53,101,8,2
2019-09-17 20:49:34,2133,439,39
2019-09-17 21:11:49,876,59,4
2019-09-17 21:28:48,3041,162,22
2019-09-17 21:47:14,337,28,2
2019-09-17 21:53:30,5575,275,73
2019-09-17 22:08:17,590,32,2
2019-09-18 05:34:09,1722,80,26
2019-09-18 06:46:00,1819,129,11
2019-09-18 08:31:54,387,26,3
2019-09-18 08:40:43,234,25,3
2019-09-18 08:53:36,324,23,8
2019-09-18 11:23:52,4806,395,50
2019-09-18 12:35:02,608,36,14
2019-09-18 14:22:18,789,46,21
2019-09-18 16:30:47,375,15,6
2019-09-19 13:35:59,317,11,14
2019-09-19 15:04:49,245,8,9
2019-09-19 15:30:26,462,12,6
2019-09-19 17:05:00,1866,190,34
2019-09-20 07:59:49,310,17,8
2019-09-20 08:05:09,184,14,3
2019-09-20 10:45:00,94,4,4
2019-09-20 11:19:10,65,5,1
2019-09-20 12:34:05,106,9,3
2019-09-20 14:28:02,524,36,5
2019-09-20 14:37:31,4058,170,14
2019-09-20 14:45:29,137,16,2
2019-09-20 16:51:17,167,20,5
2019-09-20 18:01:43,47,4,0
2019-09-20 18:04:18,43,7,0
2019-09-20 18:51:23,76,10,0
2019-09-20 18:59:00,140,9,0
2019-09-20 19:06:47,50,6,0
2019-09-20 19:21:10,111,9,0
2019-09-20 19:51:20,79,9,3
2019-09-20 19:51:56,35,3,1
2019-09-20 19:55:17,82,7,3
2019-09-20 20:24:38,184,10,3
2019-09-20 20:38:34,115,10,3
2019-09-21 08:16:59,187,9,3
2019-09-21 09:42:06,184,8,1
2019-09-21 12:17:06,86,10,1
2019-09-21 12:33:08,71,5,2
2019-09-21 12:50:26,63,4,0
2019-09-21 13:02:41,34,4,1
2019-09-21 13:19:38,39,1,0
2019-09-21 13:21:42,42,3,0
2019-09-21 13:37:58,38,1,0
2019-09-21 13:53:49,65,3,0
2019-09-21 14:04:32,68,4,1
2019-09-21 14:30:24,110,6,1
2019-09-21 17:47:10,424,25,3
2019-09-21 20:05:44,130,7,1
2019-09-22 05:34:00,831,129,10
2019-09-22 07:37:09,261,15,3
2019-09-22 08:37:15,422,31,5
2019-09-22 12:10:35,323,22,14
2019-09-22 12:52:31,252,19,6
2019-09-22 13:37:52,227,24,4
2019-09-22 13:47:15,205,11,9
2019-09-22 14:15:49,238,19,8
2019-09-22 14:25:42,163,15,1
2019-09-22 14:43:06,160,12,2
2019-09-22 14:46:58,176,28,0
2019-09-22 14:55:30,56,1,0
2019-09-22 15:01:37,43,3,1
2019-09-22 15:05:58,50,2,0
2019-09-22 15:10:02,94,8,4
2019-09-22 15:14:22,84,6,1
2019-09-22 15:16:23,60,5,0
2019-09-22 15:20:46,61,3,2
2019-09-22 15:23:28,48,5,0
2019-09-22 15:25:11,73,5,3
2019-09-22 15:31:53,47,5,1
2019-09-22 15:32:56,63,5,3
2019-09-22 15:33:07,156,28,7
2019-09-22 15:49:10,63,8,1
2019-09-22 15:52:37,62,3,1
2019-09-22 15:54:44,39,3,1
2019-09-22 15:58:18,44,6,1
2019-09-22 16:01:24,40,2,1
2019-09-22 16:02:49,86,5,2
2019-09-22 16:11:05,59,5,1
2019-09-22 16:12:00,339,48,7
2019-09-22 16:16:35,409,35,1
2019-09-22 16:21:22,72,23,13
2019-09-22 16:25:31,83,7,3
2019-09-22 16:33:53,46,7,4
2019-09-22 16:36:48,536,138,31
2019-09-22 16:56:41,100,15,2
2019-09-22 17:44:44,582,44,8
2019-09-23 08:31:06,68,5,5
2019-09-23 08:38:58,308,22,5
2019-09-23 09:41:17,377,33,17
2019-09-23 09:53:07,270,13,60
2019-09-23 13:20:43,222,17,2
2019-09-23 13:25:16,364,23,0
2019-09-23 20:14:24,2321,253,17
2019-09-24 07:01:24,212,11,29
2019-09-24 15:36:45,5820,319,12
2019-09-24 16:13:28,313,23,2
2019-09-24 17:03:51,304,25,3
2019-09-24 18:43:45,151,12,1
2019-09-25 05:34:00,1256,116,18
2019-09-25 07:43:02,804,51,10
2019-09-25 09:48:43,192,15,4
2019-09-25 16:40:40,384,24,6
