,Score,Location,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
0,0-0,Away,2,4,8,2.0,6,2,15,6,1.0,37%,5,1,2,303,189,62%
1,0-1,Home,3,8,15,4.0,8,7,20,7,3.0,43%,0,0,2,356,234,66%
2,1-2,Away,2,5,10,3.0,6,4,20,4,2.0,39%,2,0,6,285,166,58%
3,1-2,Home,4,7,13,2.0,5,8,15,3,4.0,29%,2,0,3,272,187,69%
4,1-1,Away,3,3,10,4.0,7,3,21,2,5.0,34%,4,0,3,280,184,66%
5,4-0,Home,8,8,17,1.0,13,4,11,7,6.0,39%,1,0,1,292,198,68%
6,2-1,Away,3,5,10,2.0,9,1,21,5,2.0,38%,3,0,7,266,151,57%
7,1-2,Home,3,5,8,0.0,5,3,23,4,3.0,31%,2,0,4,250,169,68%
8,1-1,Away,5,2,9,2.0,6,3,16,2,5.0,49%,3,0,0,368,253,69%
9,2-1,Home,5,2,10,3.0,7,3,19,8,6.0,44%,3,0,3,330,234,71%
10,2-2,Away,2,6,9,1.0,8,1,14,6,2.0,26%,6,0,2,229,143,62%
11,4-1,Home,8,2,13,3.0,11,2,18,4,1.0,43%,2,0,4,316,221,70%
12,1-0,Away,4,3,7,,4,3,18,4,0.0,49%,7,0,4,398,283,71%
13,1-0,Home,3,3,11,5.0,6,5,18,5,6.0,32%,7,1,6,218,123,56%
14,0-0,Home,3,3,6,0.0,3,3,14,9,5.0,47%,0,0,1,327,198,61%
15,1-0,Away,0,3,7,4.0,2,5,25,7,8.0,55%,6,0,1,313,234,75%
16,2-0,Home,7,6,13,0.0,8,5,23,3,0.0,32%,3,0,6,287,205,71%
17,2-0,Away,5,1,10,4.0,5,5,16,0,0.0,40%,3,0,3,383,278,73%
18,1-0,Home,3,3,7,1.0,3,4,19,5,5.0,42%,3,0,2,325,202,62%
19,2-2,Home,6,4,17,7.0,10,7,17,6,1.0,49%,5,0,3,365,261,72%
20,1-1,Away,2,3,7,2.0,6,1,15,4,0.0,36%,3,0,0,328,220,67%
21,0-0,Home,1,7,11,3.0,5,6,17,5,,50%,2,0,1,358,222,62%
22,0-0,Away,1,6,10,3.0,3,7,13,3,3.0,21%,3,0,6,203,115,57%
23,3-0,Home,5,2,9,2.0,6,3,21,5,1.0,31%,4,0,1,254,167,66%
24,1-0,Away,3,2,5,0.0,2,3,21,8,5.0,47%,3,0,3,357,245,69%
25,3-0,Home,5,6,14,3.0,8,7,6,10,2.0,41%,2,0,1,310,200,65%
26,3-1,Away,4,0,4,0.0,2,2,18,0,4.0,24%,3,1,4,258,190,74%
27,0-1,Home,3,9,13,1.0,10,3,14,4,2.0,44%,4,0,2,278,166,60%
28,1-2,Away,5,2,9,2.0,6,3,21,1,4.0,33%,6,0,1,236,150,64%
29,0-1,Home,4,4,8,0.0,7,1,21,4,4.0,33%,4,0,3,271,191,70%
30,2-0,Away,1,2,5,2.0,3,2,22,3,3.0,52%,3,0,0,344,203,59%
31,1-0,Home,4,4,13,5.0,8,5,19,4,4.0,37%,5,1,0,280,185,66%
32,1-2,Away,3,3,8,2.0,3,5,14,5,3.0,36%,7,0,2,301,194,64%
33,0-1,Away,4,0,7,3.0,5,2,16,3,1.0,35%,1,0,2,234,96,41%
34,1-1,Home,2,4,10,4.0,7,3,19,4,1.0,38%,6,1,1,261,167,64%
35,0-1,Away,1,5,8,2.0,6,2,28,4,3.0,31%,2,0,5,212,126,59%
36,0-1,Home,4,5,11,2.0,7,4,13,8,0.0,51%,3,0,2,410,290,71%
37,0-1,Away,3,6,11,2.0,6,5,12,9,3.0,61%,1,0,2,441,335,76%
