,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
0,"{'home': '7', 'away': '2'}","{'home': '6', 'away': '6'}","{'home': '17', 'away': '11'}","{'home': '4', 'away': '3'}","{'home': '9', 'away': '5'}","{'home': '8', 'away': '6'}","{'home': '13', 'away': '25'}","{'home': '12', 'away': '7'}","{'home': None, 'away': None}","{'home': '65%', 'away': '35%'}","{'home': '0', 'away': '4'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '7'}","{'home': '547', 'away': '291'}","{'home': '453', 'away': '203'}","{'home': '83%', 'away': '70%'}"
1,"{'home': '1', 'away': '9'}","{'home': '5', 'away': '8'}","{'home': '9', 'away': '18'}","{'home': '3', 'away': '1'}","{'home': '4', 'away': '10'}","{'home': '5', 'away': '8'}","{'home': '8', 'away': '9'}","{'home': '5', 'away': '7'}","{'home': '0', 'away': '2'}","{'home': '27%', 'away': '73%'}","{'home': '0', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '8', 'away': '1'}","{'home': '252', 'away': '666'}","{'home': '166', 'away': '591'}","{'home': '66%', 'away': '89%'}"
2,"{'home': '10', 'away': '2'}","{'home': '8', 'away': '2'}","{'home': '21', 'away': '6'}","{'home': '3', 'away': '2'}","{'home': '14', 'away': '2'}","{'home': '7', 'away': '4'}","{'home': '10', 'away': '9'}","{'home': '11', 'away': '1'}","{'home': '1', 'away': '1'}","{'home': '62%', 'away': '38%'}","{'home': '0', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '5'}","{'home': '636', 'away': '387'}","{'home': '545', 'away': '296'}","{'home': '86%', 'away': '76%'}"
3,"{'home': '7', 'away': '8'}","{'home': '11', 'away': '6'}","{'home': '21', 'away': '16'}","{'home': '3', 'away': '2'}","{'home': '14', 'away': '6'}","{'home': '7', 'away': '10'}","{'home': '14', 'away': '15'}","{'home': '7', 'away': '5'}","{'home': '1', 'away': '2'}","{'home': '44%', 'away': '56%'}","{'home': '3', 'away': '0'}","{'home': '0', 'away': '0'}","{'home': '4', 'away': '7'}","{'home': '352', 'away': '463'}","{'home': '253', 'away': '379'}","{'home': '72%', 'away': '82%'}"
4,"{'home': '6', 'away': '2'}","{'home': '8', 'away': '4'}","{'home': '18', 'away': '8'}","{'home': '4', 'away': '2'}","{'home': '12', 'away': '5'}","{'home': '6', 'away': '3'}","{'home': '6', 'away': '16'}","{'home': '4', 'away': '2'}","{'home': '1', 'away': '1'}","{'home': '71%', 'away': '29%'}","{'home': '2', 'away': '0'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '3'}","{'home': '698', 'away': '270'}","{'home': '616', 'away': '192'}","{'home': '88%', 'away': '71%'}"
5,"{'home': '8', 'away': '4'}","{'home': '4', 'away': '4'}","{'home': '14', 'away': '15'}","{'home': '2', 'away': '7'}","{'home': '9', 'away': '10'}","{'home': '5', 'away': '5'}","{'home': '18', 'away': '12'}","{'home': '1', 'away': '6'}","{'home': '1', 'away': '1'}","{'home': '34%', 'away': '66%'}","{'home': '3', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '4', 'away': '5'}","{'home': '296', 'away': '548'}","{'home': '196', 'away': '459'}","{'home': '66%', 'away': '84%'}"
6,"{'home': '5', 'away': '4'}","{'home': '4', 'away': '8'}","{'home': '15', 'away': '17'}","{'home': '6', 'away': '5'}","{'home': '8', 'away': '13'}","{'home': '7', 'away': '4'}","{'home': '12', 'away': '12'}","{'home': '3', 'away': '8'}","{'home': '1', 'away': '4'}","{'home': '43%', 'away': '57%'}","{'home': '3', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '5'}","{'home': '414', 'away': '530'}","{'home': '305', 'away': '432'}","{'home': '74%', 'away': '82%'}"
7,"{'home': '11', 'away': '3'}","{'home': '8', 'away': '1'}","{'home': '23', 'away': '5'}","{'home': '4', 'away': '1'}","{'home': '15', 'away': '1'}","{'home': '8', 'away': '4'}","{'home': '11', 'away': '14'}","{'home': '6', 'away': '4'}","{'home': '2', 'away': '2'}","{'home': '57%', 'away': '43%'}","{'home': '2', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '7'}","{'home': '514', 'away': '380'}","{'home': '441', 'away': '304'}","{'home': '86%', 'away': '80%'}"
8,"{'home': '4', 'away': '10'}","{'home': '7', 'away': '6'}","{'home': '14', 'away': '17'}","{'home': '3', 'away': '1'}","{'home': '9', 'away': '9'}","{'home': '5', 'away': '8'}","{'home': '9', 'away': '13'}","{'home': '5', 'away': '10'}","{'home': '3', 'away': '0'}","{'home': '34%', 'away': '66%'}","{'home': '2', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '6', 'away': '4'}","{'home': '313', 'away': '598'}","{'home': '212', 'away': '505'}","{'home': '68%', 'away': '84%'}"
9,"{'home': '10', 'away': '2'}","{'home': '9', 'away': '4'}","{'home': '28', 'away': '8'}","{'home': '9', 'away': '2'}","{'home': '16', 'away': '5'}","{'home': '12', 'away': '3'}","{'home': '8', 'away': '10'}","{'home': '13', 'away': '6'}","{'home': '2', 'away': '2'}","{'home': '69%', 'away': '31%'}","{'home': '1', 'away': '2'}","{'home': '0', 'away': '1'}","{'home': '2', 'away': '7'}","{'home': '670', 'away': '300'}","{'home': '598', 'away': '217'}","{'home': '89%', 'away': '72%'}"
10,"{'home': '10', 'away': '0'}","{'home': '7', 'away': '3'}","{'home': '21', 'away': '3'}","{'home': '4', 'away': '0'}","{'home': '7', 'away': '3'}","{'home': '14', 'away': '0'}","{'home': '8', 'away': '10'}","{'home': '5', 'away': '1'}","{'home': '5', 'away': '0'}","{'home': '61%', 'away': '39%'}","{'home': '0', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '0', 'away': '6'}","{'home': '618', 'away': '390'}","{'home': '528', 'away': '280'}","{'home': '85%', 'away': '72%'}"
11,"{'home': '3', 'away': '12'}","{'home': '8', 'away': '8'}","{'home': '13', 'away': '29'}","{'home': '2', 'away': '9'}","{'home': '8', 'away': '22'}","{'home': '5', 'away': '7'}","{'home': '5', 'away': '4'}","{'home': '2', 'away': '15'}","{'home': '0', 'away': '2'}","{'home': '37%', 'away': '63%'}","{'home': '3', 'away': '0'}","{'home': '0', 'away': '0'}","{'home': '6', 'away': '2'}","{'home': '337', 'away': '561'}","{'home': '266', 'away': '482'}","{'home': '79%', 'away': '86%'}"
