,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
0,"{'home': '2', 'away': '2'}","{'home': '8', 'away': '4'}","{'home': '13', 'away': '8'}","{'home': '3', 'away': '2'}","{'home': '10', 'away': '6'}","{'home': '3', 'away': '2'}","{'home': '16', 'away': '15'}","{'home': '7', 'away': '6'}","{'home': '1', 'away': '1'}","{'home': '63%', 'away': '37%'}","{'home': '1', 'away': '5'}","{'home': '0', 'away': '1'}","{'home': '2', 'away': '2'}","{'home': '532', 'away': '303'}","{'home': '425', 'away': '189'}","{'home': '80%', 'away': '62%'}"
1,"{'home': '3', 'away': '3'}","{'home': '8', 'away': '3'}","{'home': '15', 'away': '6'}","{'home': '4', 'away': '0'}","{'home': '8', 'away': '5'}","{'home': '7', 'away': '1'}","{'home': '20', 'away': '10'}","{'home': '7', 'away': '5'}","{'home': '3', 'away': '3'}","{'home': '43%', 'away': '57%'}","{'home': '0', 'away': '1'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '3'}","{'home': '356', 'away': '478'}","{'home': '234', 'away': '371'}","{'home': '66%', 'away': '78%'}"
2,"{'home': '7', 'away': '2'}","{'home': '4', 'away': '5'}","{'home': '11', 'away': '10'}","{'home': '0', 'away': '3'}","{'home': '9', 'away': '6'}","{'home': '2', 'away': '4'}","{'home': '14', 'away': '20'}","{'home': '2', 'away': '4'}","{'home': '0', 'away': '2'}","{'home': '61%', 'away': '39%'}","{'home': '1', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '0', 'away': '6'}","{'home': '449', 'away': '285'}","{'home': '330', 'away': '166'}","{'home': '73%', 'away': '58%'}"
3,"{'home': '4', 'away': '5'}","{'home': '7', 'away': '1'}","{'home': '13', 'away': '7'}","{'home': '2', 'away': '1'}","{'home': '5', 'away': '3'}","{'home': '8', 'away': '4'}","{'home': '15', 'away': '14'}","{'home': '3', 'away': '4'}","{'home': '4', 'away': '5'}","{'home': '29%', 'away': '71%'}","{'home': '2', 'away': '4'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '3'}","{'home': '272', 'away': '658'}","{'home': '187', 'away': '593'}","{'home': '69%', 'away': '90%'}"
4,"{'home': '4', 'away': '3'}","{'home': '3', 'away': '3'}","{'home': '8', 'away': '10'}","{'home': '1', 'away': '4'}","{'home': '4', 'away': '7'}","{'home': '4', 'away': '3'}","{'home': '9', 'away': '21'}","{'home': '3', 'away': '2'}","{'home': '5', 'away': '5'}","{'home': '66%', 'away': '34%'}","{'home': '2', 'away': '4'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '3'}","{'home': '570', 'away': '280'}","{'home': '468', 'away': '184'}","{'home': '82%', 'away': '66%'}"
5,"{'home': '8', 'away': '1'}","{'home': '8', 'away': '4'}","{'home': '17', 'away': '6'}","{'home': '1', 'away': '1'}","{'home': '13', 'away': '5'}","{'home': '4', 'away': '1'}","{'home': '11', 'away': '16'}","{'home': '7', 'away': '4'}","{'home': '6', 'away': '1'}","{'home': '39%', 'away': '61%'}","{'home': '1', 'away': '4'}","{'home': '0', 'away': '0'}","{'home': '1', 'away': '4'}","{'home': '292', 'away': '455'}","{'home': '198', 'away': '365'}","{'home': '68%', 'away': '80%'}"
6,"{'home': '9', 'away': '3'}","{'home': '4', 'away': '5'}","{'home': '15', 'away': '10'}","{'home': '2', 'away': '2'}","{'home': '12', 'away': '9'}","{'home': '3', 'away': '1'}","{'home': '16', 'away': '21'}","{'home': '8', 'away': '5'}","{'home': '3', 'away': '2'}","{'home': '62%', 'away': '38%'}","{'home': '6', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '2', 'away': '7'}","{'home': '448', 'away': '266'}","{'home': '350', 'away': '151'}","{'home': '78%', 'away': '57%'}"
7,"{'home': '3', 'away': '6'}","{'home': '5', 'away': '6'}","{'home': '8', 'away': '16'}","{'home': '0', 'away': '4'}","{'home': '5', 'away': '8'}","{'home': '3', 'away': '8'}","{'home': '23', 'away': '8'}","{'home': '4', 'away': '7'}","{'home': '3', 'away': '5'}","{'home': '31%', 'away': '69%'}","{'home': '2', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '4', 'away': '2'}","{'home': '250', 'away': '563'}","{'home': '169', 'away': '478'}","{'home': '68%', 'away': '85%'}"
8,"{'home': '1', 'away': '5'}","{'home': '2', 'away': '2'}","{'home': '5', 'away': '9'}","{'home': '2', 'away': '2'}","{'home': '3', 'away': '6'}","{'home': '2', 'away': '3'}","{'home': '18', 'away': '16'}","{'home': '3', 'away': '2'}","{'home': '1', 'away': '5'}","{'home': '51%', 'away': '49%'}","{'home': '1', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '4', 'away': '0'}","{'home': '386', 'away': '368'}","{'home': '280', 'away': '253'}","{'home': '73%', 'away': '69%'}"
9,"{'home': '5', 'away': '4'}","{'home': '2', 'away': '6'}","{'home': '10', 'away': '15'}","{'home': '3', 'away': '5'}","{'home': '7', 'away': '9'}","{'home': '3', 'away': '6'}","{'home': '19', 'away': '16'}","{'home': '8', 'away': '7'}","{'home': '6', 'away': '3'}","{'home': '44%', 'away': '56%'}","{'home': '3', 'away': '2'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '3'}","{'home': '330', 'away': '424'}","{'home': '234', 'away': '337'}","{'home': '71%', 'away': '79%'}"
10,"{'home': '4', 'away': '2'}","{'home': '9', 'away': '6'}","{'home': '15', 'away': '9'}","{'home': '2', 'away': '1'}","{'home': '8', 'away': '8'}","{'home': '7', 'away': '1'}","{'home': '10', 'away': '14'}","{'home': '4', 'away': '6'}","{'home': '0', 'away': '2'}","{'home': '74%', 'away': '26%'}","{'home': '2', 'away': '6'}","{'home': '0', 'away': '0'}","{'home': '0', 'away': '2'}","{'home': '681', 'away': '229'}","{'home': '597', 'away': '143'}","{'home': '88%', 'away': '62%'}"
11,"{'home': '8', 'away': '5'}","{'home': '2', 'away': '4'}","{'home': '13', 'away': '11'}","{'home': '3', 'away': '2'}","{'home': '11', 'away': '7'}","{'home': '2', 'away': '4'}","{'home': '18', 'away': '14'}","{'home': '4', 'away': '5'}","{'home': '1', 'away': '1'}","{'home': '43%', 'away': '57%'}","{'home': '2', 'away': '3'}","{'home': '0', 'away': '0'}","{'home': '4', 'away': '4'}","{'home': '316', 'away': '426'}","{'home': '221', 'away': '312'}","{'home': '70%', 'away': '73%'}"
12,"{'home': '5', 'away': '4'}","{'home': '5', 'away': '3'}","{'home': '10', 'away': '7'}","{'home': None, 'away': None}","{'home': '3', 'away': '4'}","{'home': '7', 'away': '3'}","{'home': '12', 'away': '18'}","{'home': '6', 'away': '4'}","{'home': '5', 'away': '0'}","{'home': '51%', 'away': '49%'}","{'home': '3', 'away': '7'}","{'home': '0', 'away': '0'}","{'home': '3', 'away': '4'}","{'home': '416', 'away': '398'}","{'home': '287', 'away': '283'}","{'home': '69%', 'away': '71%'}"
